Date,Team,Opp,Score,FPts,Min,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,player_id,player_name,injured,GA,Sv,PKS,HCS,Sm
2026-02-08,MCI,@LIV,W 2-1,26,90,1,3,1,3,0,1,1,0,0,0,1,0,0,3,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2026-02-01,MCI,@TOT,T 2-2,16,90,0,4,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,2,0,061vq,Erling Haaland,,,,,,
2026-01-24,MCI,WOL,W 2-0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,061vq,Erling Haaland,,,,,,
2026-01-17,MCI,@MUN,L 0-2,-0.5,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,061vq,Erling Haaland,,,,,,
2026-01-07,MCI,BHA,T 1-1,22,90,1,1,0,4,1,2,0,0,0,0,1,0,0,6,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2026-01-04,MCI,CHE,T 1-1,6,90,0,0,0,1,0,1,0,0,0,1,0,2,0,3,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2026-01-01,MCI,@SUN,T 0-0,6,90,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-12-27,MCI,@NOT,W 2-1,2.5,90,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2025-12-20,MCI,WHU,W 3-0,32.5,90,2,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-12-14,MCI,@CRY,W 3-0,24.5,88,2,0,0,2,2,2,0,0,0,0,3,0,0,3,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-12-06,MCI,SUN,W 3-0,3.5,68,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-12-02,MCI,@FUL,W 5-4,30.5,90,1,2,2,1,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,061vq,Erling Haaland,,,,,,
2025-11-29,MCI,LEE,W 3-2,6,90,0,1,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,2,0,061vq,Erling Haaland,,,,,,
2025-11-22,MCI,@NEW,L 1-2,6.5,90,0,0,0,2,1,1,0,0,0,0,1,0,0,4,0,0,0,2,0,061vq,Erling Haaland,,,,,,
2025-11-09,MCI,LIV,W 3-0,12.5,90,1,1,0,2,1,1,0,0,0,0,1,0,0,2,1,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-11-02,MCI,BOU,W 3-1,29,81,2,0,0,4,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2025-10-26,MCI,@AVL,L 0-1,7.5,90,0,0,0,3,0,1,0,0,0,0,3,0,0,4,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2025-10-18,MCI,EVE,W 2-0,28,90,2,0,0,4,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-10-05,MCI,@BRF,W 1-0,12,90,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-09-27,MCI,BUR,W 5-1,34.5,90,2,2,1,3,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,061vq,Erling Haaland,,,,,,
2025-09-21,MCI,@ARS,T 1-1,13,75,1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-09-14,MCI,MUN,W 3-0,28.5,86,2,1,0,3,0,0,0,0,0,0,6,2,0,1,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2025-08-31,MCI,@BHA,L 1-2,17,90,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,061vq,Erling Haaland,,,,,,
2025-08-23,MCI,TOT,L 0-2,3,90,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,061vq,Erling Haaland,,,,,,
2025-08-16,MCI,@WOL,W 4-0,24,72,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,061vq,Erling Haaland,,,,,,
2026-02-09,MCI,FUL,TBD,,,,,,,,,,,,,,,,,,,,,,061vq,Erling Haaland,Available,,,,,
2026-02-07,AVL,@BOU,T 1-1,17,90,1,2,0,1,1,1,0,0,0,1,4,0,0,1,0,0,0,1,0,05uht,Morgan Rogers,,,,,,
2026-02-01,AVL,BRF,L 0-1,8,90,0,2,0,1,0,1,0,0,0,0,2,2,0,1,0,0,0,1,0,05uht,Morgan Rogers,,,,,,
2026-01-25,AVL,@NEW,W 2-0,19,90,0,2,1,2,3,6,0,0,0,0,2,2,0,4,0,0,0,0,1,05uht,Morgan Rogers,,,,,,
2026-01-18,AVL,EVE,L 0-1,6.5,90,0,2,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,05uht,Morgan Rogers,,,,,,
