teamName,urlName,headshotUrl,scorerId,upcomingEventStatusId,rank,teamLogo,posIdsNoFlex,defaultPosId,posShortNames,team,rookie,minorsEligible,posIds,teamId,name,teamShortName,shortName,next_match,fpts,fpts_per_game,statusId
Manchester City,erling-haaland,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_City.png,061vq,2,1,True,['701'],701,F,False,False,False,['701'],110080,Erling Haaland,MCI,E. Haaland,FUL<br/>Wed 2:30PM,390.5,15.62,
Manchester United,bruno-miguel-borges-fernandes,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,05gcr,,2,True,['702'],702,M,False,False,False,['702'],110090,Bruno Fernandes,MUN,Bruno Fernandes,MUN 1<br/>@WHU 1 F,371.5,16.15,
Manchester City,antoine-semenyo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_City.png,068y0,2,3,True,['701'],701,F,False,False,False,['701'],110080,Antoine Semenyo,MCI,A. Semenyo,FUL<br/>Wed 2:30PM,321,13.38,
Arsenal,declan-rice,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,04agz,2,4,True,['702'],702,M,False,False,False,['702'],110000,Declan Rice,ARS,D. Rice,@BRF Thu<br/>3:00PM<br/>@WOL Wed3:00PM,300,12.5,
Brentford,igor-thiago-nascimento-rodrigues,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brentford.png,06mn0,2,5,True,['701'],701,F,False,False,False,['701'],110237,Igor Thiago,BRF,Igor Thiago,ARS<br/>Thu 3:00PM,293.5,11.74,
Arsenal,bukayo-saka,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,04y92,,6,True,['702'],701,M,False,False,False,['702'],110000,Bukayo Saka,ARS,B. Saka,@BRF Thu<br/>3:00PM<br/>@WOL Wed3:00PM,286,13.62,
Newcastle United,bruno-guimaraes-rodriguez-moura,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,05ylj,,7,True,['702'],702,M,False,False,False,['702'],110101,Bruno Guimaraes,NEW,Bruno Guimaraes,NEW 2<br/>@TOT 1 F,285,12.39,
Chelsea,joao-pedro-junqueira-de-jesus,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,05g2o,,8,True,['701'],701,F,False,False,False,['701'],110040,Joao Pedro,CHE,Joao Pedro,LEE 2<br/>@CHE 2 F,279,10.73,
Everton,james-tarkowski,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,0427d,,9,True,['703'],703,D,False,False,False,['703'],110050,James Tarkowski,EVE,J. Tarkowski,BOU 2<br/>@EVE 1 F,275,10.58,
Chelsea,enzo-fernandez,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,068ym,,10,True,['702'],702,M,False,False,False,['702'],110040,Enzo Fernandez,CHE,E. Fernandez,LEE 2<br/>@CHE 2 F,261.5,10.46,
Everton,james-garner,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,04spw,,11,True,['702'],702,M,False,False,False,['702'],110050,James Garner,EVE,J. Garner,BOU 2<br/>@EVE 1 F,254,9.77,
Aston Villa,morgan-rogers,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,05uht,2,12,True,['702'],701,M,False,False,False,['702'],110011,Morgan Rogers,AVL,M. Rogers,BHA<br/>Wed 2:30PM,247,9.88,
Liverpool,dominik-szoboszlai,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,06cmm,,13,True,['702'],702,M,False,False,False,['702'],110070,Dominik Szoboszlai,LIV,D. Szoboszlai,@SUN<br/>Wed 3:15PM,246.5,10.27,
Leeds United,anton-stach,https://fantraximg.com/assets/images/logos/sportsteam/epl/Leeds_United2.png,06zbx,,14,True,['702'],702,M,False,False,False,['702'],110261,Anton Stach,LEE,A. Stach,LEE 2<br/>@CHE 2 F,245.5,11.69,
West Ham United,jarrod-bowen,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,046c5,,15,True,['701'],701,F,False,False,False,['701'],110175,Jarrod Bowen,WHU,J. Bowen,MUN 1<br/>@WHU 1 F,242,9.31,
Manchester United,bryan-mbeumo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,05trb,,16,True,['701'],701,F,False,False,False,['701'],110090,Bryan Mbeumo,MUN,B. Mbeumo,MUN 1<br/>@WHU 1 F,241.5,11.5,
Nottingham Forest,elliot-anderson,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,05opj,2,17,True,['702'],702,M,False,False,False,['702'],110105,Elliot Anderson,NOT,E. Anderson,WOL<br/>Wed 2:30PM,241,9.64,
