player_id,matchweek,date,team,opp,score,fpts,min,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,player_name,injured,ga,sv,pks,hcs,sm,position,home_ind,season,last_minutes,season_minutes,last_g,season_g,g_per_min_gameweek,g_per_min_season,g_per_90_gameweek,g_per_90_season,last_kp,season_kp,kp_per_min_gameweek,kp_per_min_season,kp_per_90_gameweek,kp_per_90_season,last_at,season_at,at_per_min_gameweek,at_per_min_season,at_per_90_gameweek,at_per_90_season,last_sot,season_sot,sot_per_min_gameweek,sot_per_min_season,sot_per_90_gameweek,sot_per_90_season,last_tkw,season_tkw,tkw_per_min_gameweek,tkw_per_min_season,tkw_per_90_gameweek,tkw_per_90_season,last_dis,season_dis,dis_per_min_gameweek,dis_per_min_season,dis_per_90_gameweek,dis_per_90_season,last_yc,season_yc,yc_per_min_gameweek,yc_per_min_season,yc_per_90_gameweek,yc_per_90_season,last_rc,season_rc,rc_per_min_gameweek,rc_per_min_season,rc_per_90_gameweek,rc_per_90_season,last_acnc,season_acnc,acnc_per_min_gameweek,acnc_per_min_season,acnc_per_90_gameweek,acnc_per_90_season,last_int,season_int,int_per_min_gameweek,int_per_min_season,int_per_90_gameweek,int_per_90_season,last_clr,season_clr,clr_per_min_gameweek,clr_per_min_season,clr_per_90_gameweek,clr_per_90_season,last_cos,season_cos,cos_per_min_gameweek,cos_per_min_season,cos_per_90_gameweek,cos_per_90_season,last_bs,season_bs,bs_per_min_gameweek,bs_per_min_season,bs_per_90_gameweek,bs_per_90_season,last_aer,season_aer,aer_per_min_gameweek,aer_per_min_season,aer_per_90_gameweek,aer_per_90_season,last_pkm,season_pkm,pkm_per_min_gameweek,pkm_per_min_season,pkm_per_90_gameweek,pkm_per_90_season,last_pkd,season_pkd,pkd_per_min_gameweek,pkd_per_min_season,pkd_per_90_gameweek,pkd_per_90_season,last_og,season_og,og_per_min_gameweek,og_per_min_season,og_per_90_gameweek,og_per_90_season,last_gao,season_gao,gao_per_min_gameweek,gao_per_min_season,gao_per_90_gameweek,gao_per_90_season,last_cs,season_cs,cs_per_min_gameweek,cs_per_min_season,cs_per_90_gameweek,cs_per_90_season,last_ga,season_ga,ga_per_min_gameweek,ga_per_min_season,ga_per_90_gameweek,ga_per_90_season,last_sv,season_sv,sv_per_min_gameweek,sv_per_min_season,sv_per_90_gameweek,sv_per_90_season,last_pks,season_pks,pks_per_min_gameweek,pks_per_min_season,pks_per_90_gameweek,pks_per_90_season,last_hcs,season_hcs,hcs_per_min_gameweek,hcs_per_min_season,hcs_per_90_gameweek,hcs_per_90_season,last_sm,season_sm,sm_per_min_gameweek,sm_per_min_season,sm_per_90_gameweek,sm_per_90_season,opp_clean,positional_avg_g_per_90_season,positional_avg_kp_per_90_season,positional_avg_at_per_90_season,positional_avg_sot_per_90_season,positional_avg_tkw_per_90_season,positional_avg_dis_per_90_season,positional_avg_yc_per_90_season,positional_avg_rc_per_90_season,positional_avg_acnc_per_90_season,positional_avg_int_per_90_season,positional_avg_clr_per_90_season,positional_avg_cos_per_90_season,positional_avg_bs_per_90_season,positional_avg_aer_per_90_season,positional_avg_pkm_per_90_season,positional_avg_pkd_per_90_season,positional_avg_og_per_90_season,positional_avg_gao_per_90_season,positional_avg_cs_per_90_season,positional_avg_ga_per_90_season,positional_avg_sv_per_90_season,positional_avg_pks_per_90_season,positional_avg_hcs_per_90_season,positional_avg_sm_per_90_season,team_week_standing,team_week_standing_opp
061vq,26,2026-02-10,MCI,FUL,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Erling Haaland,Available,0.0,0.0,0.0,0.0,0.0,F,0,2025,90.0,2095.0,1.0,21.0,0.011111111111111112,0.010023866348448688,1.0,0.9021479713603819,3.0,19.0,0.03333333333333333,0.009069212410501194,3.0,0.8162291169451075,1.0,6.0,0.011111111111111112,0.002863961813842482,1.0,0.2577565632458234,3.0,46.0,0.03333333333333333,0.021957040572792363,3.0,1.9761336515513126,0.0,7.0,0.0,0.003341288782816229,0.0,0.3007159904534606,1.0,16.0,0.011111111111111112,0.0076372315035799524,1.0,0.6873508353221958,1.0,1.0,0.011111111111111112,0.00047732696897374703,1.0,0.042959427207637235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.001431980906921241,0.0,0.1288782816229117,1.0,32.0,0.011111111111111112,0.015274463007159905,1.0,1.3747016706443915,0.0,10.0,0.0,0.00477326968973747,0.0,0.42959427207637235,0.0,1.0,0.0,0.00047732696897374703,0.0,0.042959427207637235,3.0,57.0,0.03333333333333333,0.02720763723150358,3.0,2.448687350835322,0.0,1.0,0.0,0.00047732696897374703,0.0,0.042959427207637235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.011111111111111112,0.010978520286396181,1.0,0.9880668257756563,0.0,10.0,0.0,0.00477326968973747,0.0,0.42959427207637235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FUL,0.2727257148601636,0.9252873091664792,0.11973146859236998,0.8604081855617517,0.6745821701506545,1.529946546797833,0.12896165655031017,0.0,0.22790848850425405,0.3002948809685124,0.917215811304969,0.804798957738386,0.11888592714962551,1.9126038548174602,0.0095168189794202,0.013251695018801773,0.0008200082000820009,1.2701226982675649,0.2573654483977064,0.0,0.0,0.0,0.0,0.0,5,5
05gcr,26,2026-02-10,MUN,@WHU,T 1-1,9.5,90.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bruno Fernandes,,0.0,0.0,0.0,0.0,0.0,M,1,2025,90.0,1893.0,1.0,6.0,0.011111111111111112,0.003169572107765452,1.0,0.28526148969889065,6.0,74.0,0.06666666666666667,0.03909138932910724,6.0,3.5182250396196513,0.0,12.0,0.0,0.006339144215530904,0.0,0.5705229793977813,2.0,15.0,0.022222222222222223,0.00792393026941363,2.0,0.7131537242472267,0.0,22.0,0.0,0.01162176439513999,0.0,1.045958795562599,0.0,17.0,0.0,0.008980454305335447,0.0,0.8082408874801902,0.0,2.0,0.0,0.0010565240359218173,0.0,0.09508716323296355,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.022222222222222223,0.009508716323296355,2.0,0.8557844690966719,0.0,12.0,0.0,0.006339144215530904,0.0,0.5705229793977813,0.0,36.0,0.0,0.01901743264659271,0.0,1.7115689381933439,1.0,11.0,0.011111111111111112,0.005810882197569995,1.0,0.5229793977812995,0.0,5.0,0.0,0.002641310089804543,0.0,0.2377179080824089,0.0,15.0,0.0,0.00792393026941363,0.0,0.7131537242472267,0.0,2.0,0.0,0.0010565240359218173,0.0,0.09508716323296355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.016904384574749076,0.0,1.5213946117274169,1.0,3.0,0.011111111111111112,0.001584786053882726,1.0,0.14263074484944532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHU,0.12436289650244522,1.0901184404454958,0.15906200950998453,0.46738362454978216,1.1089941844226894,0.9753590563440014,0.15523517385909955,0.08474029352886292,0.34621370079054437,0.6628230183723528,1.1968562256785205,0.8351704445093912,0.206809939294621,0.8382679318150876,0.0021439704464487597,0.010091148776515008,0.0011794811753987095,1.1320525611003998,0.31067144836421057,0.0,0.0,0.0,0.0,0.0,5,5
05gcr,26,2026-02-10,MUN,MUN,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Fernandes,Available,0.0,0.0,0.0,0.0,0.0,M,0,2025,90.0,1983.0,0.0,6.0,0.0,0.0030257186081694403,0.0,0.2723146747352496,4.0,78.0,0.044444444444444446,0.039334341906202726,4.0,3.5400907715582455,0.0,12.0,0.0,0.006051437216338881,0.0,0.5446293494704992,0.0,15.0,0.0,0.007564296520423601,0.0,0.680786686838124,1.0,23.0,0.011111111111111112,0.011598587997982855,1.0,1.0438729198184569,1.0,18.0,0.011111111111111112,0.009077155824508321,1.0,0.8169440242057489,0.0,2.0,0.0,0.0010085728693898135,0.0,0.09077155824508322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.011111111111111112,0.009581442259203227,1.0,0.8623298033282905,0.0,12.0,0.0,0.006051437216338881,0.0,0.5446293494704992,0.0,36.0,0.0,0.018154311649016642,0.0,1.6338880484114977,0.0,11.0,0.0,0.005547150781643974,0.0,0.4992435703479577,0.0,5.0,0.0,0.0025214321734745334,0.0,0.22692889561270801,0.0,15.0,0.0,0.007564296520423601,0.0,0.680786686838124,0.0,2.0,0.0,0.0010085728693898135,0.0,0.09077155824508322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.011111111111111112,0.01664145234493192,1.0,1.497730711043873,0.0,3.0,0.0,0.0015128593040847202,0.0,0.1361573373676248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MUN,0.1042289956306371,1.126834921341011,0.1441966027391501,0.46814757195940615,1.0595366015349226,1.0748206043594524,0.18046677175165157,0.004121835149232887,0.2761511763403903,0.679571654160845,1.2886967400480167,0.72701219359748,0.22093009222310792,0.8848297343799143,0.0004960194439622034,0.004882722969450442,0.00025898013622355166,1.302746427009095,0.2377700488101886,0.0,0.0,0.0,0.0,0.0,5,5
068y0,26,2026-02-10,MCI,FUL,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antoine Semenyo,Available,0.0,0.0,0.0,0.0,0.0,F,0,2025,88.0,2154.0,0.0,12.0,0.0,0.005571030640668524,0.0,0.5013927576601671,1.0,28.0,0.011363636363636364,0.012999071494893221,1.0227272727272727,1.1699164345403898,0.0,5.0,0.0,0.002321262766945218,0.0,0.20891364902506962,1.0,32.0,0.011363636363636364,0.014856081708449397,1.0227272727272727,1.3370473537604457,1.0,23.0,0.011363636363636364,0.010677808727948004,1.0227272727272727,0.9610027855153204,1.0,41.0,0.011363636363636364,0.01903435468895079,1.0227272727272727,1.713091922005571,0.0,6.0,0.0,0.002785515320334262,0.0,0.25069637883008355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0018570102135561746,0.0,0.1671309192200557,0.0,9.0,0.0,0.004178272980501393,0.0,0.3760445682451254,0.0,23.0,0.0,0.010677808727948004,0.0,0.9610027855153204,0.0,34.0,0.0,0.015784586815227482,0.0,1.4206128133704734,0.0,3.0,0.0,0.001392757660167131,0.0,0.12534818941504178,3.0,53.0,0.03409090909090909,0.02460538532961931,3.068181818181818,2.214484679665738,0.0,1.0,0.0,0.00046425255338904364,0.0,0.04178272980501393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.011363636363636364,0.019962859795728878,1.0227272727272727,1.796657381615599,0.0,6.0,0.0,0.002785515320334262,0.0,0.25069637883008355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FUL,0.2727257148601636,0.9252873091664792,0.11973146859236998,0.8604081855617517,0.6745821701506545,1.529946546797833,0.12896165655031017,0.0,0.22790848850425405,0.3002948809685124,0.917215811304969,0.804798957738386,0.11888592714962551,1.9126038548174602,0.0095168189794202,0.013251695018801773,0.0008200082000820009,1.2701226982675649,0.2573654483977064,0.0,0.0,0.0,0.0,0.0,5,5
04agz,26,2026-02-10,ARS,@BRF,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Declan Rice,Available,0.0,0.0,0.0,0.0,0.0,M,1,2025,90.0,2054.0,0.0,4.0,0.0,0.0019474196689386564,0.0,0.17526777020447906,3.0,47.0,0.03333333333333333,0.022882181110029213,3.0,2.059396299902629,0.0,7.0,0.0,0.0034079844206426485,0.0,0.3067185978578384,0.0,12.0,0.0,0.005842259006815969,0.0,0.5258033106134372,0.0,23.0,0.0,0.011197663096397274,0.0,1.0077896786757548,0.0,13.0,0.0,0.006329113924050633,0.0,0.569620253164557,0.0,2.0,0.0,0.0009737098344693282,0.0,0.08763388510223953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.010223953261927946,0.0,0.9201557935735151,4.0,25.0,0.044444444444444446,0.012171372930866602,4.0,1.095423563777994,1.0,54.0,0.011111111111111112,0.02629016553067186,1.0,2.3661148977604674,0.0,9.0,0.0,0.004381694255111977,0.0,0.3943524829600779,0.0,10.0,0.0,0.004868549172346641,0.0,0.4381694255111977,1.0,29.0,0.011111111111111112,0.014118792599805257,1.0,1.2706913339824732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.007789678675754625,0.0,0.7010710808179162,1.0,12.0,0.011111111111111112,0.005842259006815969,1.0,0.5258033106134372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRF,0.105629126229042,1.0088574855185155,0.15133948807357514,0.40010559326221756,1.3883365903030025,1.074969822218957,0.17523373709603499,0.28864148651079125,0.30649944176230376,0.9586702396283368,1.5805314107108397,0.8141140918907356,0.2403967933156527,0.9548572166137442,0.0012691429054911582,0.02948589313383922,0.0005490181725015099,1.0694575313174777,0.32521486628473206,0.0,0.0,0.0,0.0,0.0,5,5
06mn0,26,2026-02-10,BRF,ARS,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Igor Thiago,Available,0.0,0.0,0.0,0.0,0.0,F,0,2025,90.0,2106.0,1.0,17.0,0.011111111111111112,0.008072174738841406,1.0,0.7264957264957266,1.0,13.0,0.011111111111111112,0.006172839506172839,1.0,0.5555555555555556,0.0,1.0,0.0,0.0004748338081671415,0.0,0.042735042735042736,1.0,32.0,0.011111111111111112,0.015194681861348529,1.0,1.3675213675213675,0.0,11.0,0.0,0.0052231718898385565,0.0,0.4700854700854701,0.0,28.0,0.0,0.013295346628679962,0.0,1.1965811965811965,1.0,5.0,0.011111111111111112,0.0023741690408357074,1.0,0.21367521367521367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.001899335232668566,0.0,0.17094017094017094,0.0,6.0,0.0,0.002849002849002849,0.0,0.25641025641025644,2.0,42.0,0.022222222222222223,0.019943019943019943,2.0,1.794871794871795,1.0,19.0,0.011111111111111112,0.009021842355175688,1.0,0.8119658119658119,0.0,3.0,0.0,0.0014245014245014246,0.0,0.12820512820512822,4.0,62.0,0.044444444444444446,0.029439696106362774,4.0,2.6495726495726495,0.0,1.0,0.0,0.0004748338081671415,0.0,0.042735042735042736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.022222222222222223,0.015194681861348529,2.0,1.3675213675213675,0.0,6.0,0.0,0.002849002849002849,0.0,0.25641025641025644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARS,0.45215514078797586,0.8608616596229706,0.12675012949777018,0.9615478699175432,0.6278755639022061,1.5077780056962113,0.12556678218729925,0.0005387931034482759,0.25612566703004147,0.2680745780003703,1.1207666742988067,0.9277696546157169,0.09950255163808043,1.5410544678512872,0.004489323183164635,0.009775240975934999,0.0,1.5007118658372973,0.244144005072076,0.0,0.0,0.0,0.0,0.0,5,5
04y92,26,2026-02-10,ARS,@BRF,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bukayo Saka,Out,0.0,0.0,0.0,0.0,0.0,M,1,2025,0.0,1540.0,0.0,4.0,0.0,0.0025974025974025974,0.0,0.23376623376623376,0.0,43.0,0.0,0.02792207792207792,0.0,2.512987012987013,0.0,7.0,0.0,0.004545454545454545,0.0,0.40909090909090906,0.0,21.0,0.0,0.013636363636363636,0.0,1.2272727272727273,0.0,12.0,0.0,0.007792207792207792,0.0,0.7012987012987013,0.0,17.0,0.0,0.01103896103896104,0.0,0.9935064935064936,0.0,1.0,0.0,0.0006493506493506494,0.0,0.05844155844155844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.012337662337662338,0.0,1.1103896103896105,0.0,6.0,0.0,0.003896103896103896,0.0,0.35064935064935066,0.0,5.0,0.0,0.003246753246753247,0.0,0.29220779220779225,0.0,38.0,0.0,0.024675324675324677,0.0,2.220779220779221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.00974025974025974,0.0,0.8766233766233766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.007792207792207792,0.0,0.7012987012987013,0.0,8.0,0.0,0.005194805194805195,0.0,0.4675324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRF,0.105629126229042,1.0088574855185155,0.15133948807357514,0.40010559326221756,1.3883365903030025,1.074969822218957,0.17523373709603499,0.28864148651079125,0.30649944176230376,0.9586702396283368,1.5805314107108397,0.8141140918907356,0.2403967933156527,0.9548572166137442,0.0012691429054911582,0.02948589313383922,0.0005490181725015099,1.0694575313174777,0.32521486628473206,0.0,0.0,0.0,0.0,0.0,5,5
05ylj,26,2026-02-10,NEW,@TOT,W 2-1,9.0,88.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bruno Guimaraes,,0.0,0.0,0.0,0.0,0.0,M,1,2025,90.0,1926.0,1.0,9.0,0.011111111111111112,0.004672897196261682,1.0,0.4205607476635514,3.0,35.0,0.03333333333333333,0.018172377985462097,3.0,1.6355140186915889,1.0,6.0,0.011111111111111112,0.003115264797507788,1.0,0.2803738317757009,1.0,17.0,0.011111111111111112,0.008826583592938734,1.0,0.7943925233644861,1.0,32.0,0.011111111111111112,0.016614745586708203,1.0,1.4953271028037383,2.0,33.0,0.022222222222222223,0.017133956386292833,2.0,1.542056074766355,0.0,4.0,0.0,0.0020768431983385254,0.0,0.18691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0036344755970924196,0.0,0.3271028037383178,0.0,11.0,0.0,0.005711318795430945,0.0,0.5140186915887851,1.0,27.0,0.011111111111111112,0.014018691588785047,1.0,1.2616822429906542,0.0,13.0,0.0,0.006749740394600207,0.0,0.6074766355140186,0.0,1.0,0.0,0.0005192107995846313,0.0,0.04672897196261682,0.0,11.0,0.0,0.005711318795430945,0.0,0.5140186915887851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.011111111111111112,0.0010384215991692627,1.0,0.09345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.03333333333333333,0.01557632398753894,3.0,1.4018691588785046,0.0,6.0,0.0,0.003115264797507788,0.0,0.2803738317757009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOT,0.16421237462713018,1.24051568767647,0.30915751197102487,0.46092417979518346,1.1712389362848583,1.1746995440801875,0.1752486747416076,0.005866502790643411,0.3129507046650749,0.7685194792568754,1.3365270451193665,0.8286828658811642,0.29097806212249133,0.9044811235180361,0.001948908397807448,0.0992251151423716,0.0,1.2638280973258433,0.297103782829334,0.0,0.0,0.0,0.0,0.0,5,5
05ylj,26,2026-02-10,NEW,NEW,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Guimaraes,GTD,0.0,0.0,0.0,0.0,0.0,M,0,2025,88.0,2014.0,0.0,9.0,0.0,0.004468718967229395,0.0,0.4021847070506455,3.0,38.0,0.03409090909090909,0.018867924528301886,3.068181818181818,1.6981132075471697,0.0,6.0,0.0,0.0029791459781529296,0.0,0.26812313803376364,0.0,17.0,0.0,0.008440913604766634,0.0,0.759682224428997,4.0,36.0,0.045454545454545456,0.01787487586891758,4.090909090909091,1.608738828202582,0.0,33.0,0.0,0.01638530287984111,0.0,1.4746772591857,1.0,5.0,0.011363636363636364,0.0024826216484607746,1.0227272727272727,0.2234359483614697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.003475670307845084,0.0,0.3128103277060576,1.0,12.0,0.011363636363636364,0.005958291956305859,1.0227272727272727,0.5362462760675273,2.0,29.0,0.022727272727272728,0.014399205561072492,2.0454545454545454,1.2959285004965242,0.0,13.0,0.0,0.006454816285998014,0.0,0.5809334657398213,0.0,1.0,0.0,0.0004965243296921549,0.0,0.04468718967229394,0.0,11.0,0.0,0.005461767626613704,0.0,0.4915590863952333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0009930486593843098,0.0,0.08937437934458788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.011363636363636364,0.015392254220456803,1.0227272727272727,1.3853028798411122,0.0,6.0,0.0,0.0029791459781529296,0.0,0.26812313803376364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEW,0.11304544481201105,1.4253521546011623,0.14382916020950037,0.36318896997225497,1.088954861982411,1.4700401241616698,0.16768910011981442,0.004596043698753277,0.2822154354464335,0.6838194439481797,1.2965013487328807,1.2117485710509666,0.22010466115887403,1.0881997797817207,0.0002466970012608958,0.012721361038532848,0.00040846892232282656,1.308961409938531,0.2154554002138259,0.0,0.0,0.0,0.0,0.0,5,5
05g2o,26,2026-02-10,CHE,LEE,T 2-2,22.5,90.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,Joao Pedro,,0.0,0.0,0.0,0.0,0.0,F,0,2025,74.0,1794.0,0.0,9.0,0.0,0.005016722408026756,0.0,0.45150501672240806,0.0,23.0,0.0,0.01282051282051282,0.0,1.1538461538461537,2.0,7.0,0.02702702702702703,0.0039018952062430325,2.4324324324324325,0.3511705685618729,0.0,18.0,0.0,0.010033444816053512,0.0,0.9030100334448161,0.0,13.0,0.0,0.007246376811594203,0.0,0.6521739130434783,2.0,38.0,0.02702702702702703,0.021181716833890748,2.4324324324324325,1.9063545150501673,0.0,3.0,0.0,0.0016722408026755853,0.0,0.1505016722408027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0005574136008918618,0.0,0.05016722408026756,0.0,5.0,0.0,0.002787068004459309,0.0,0.2508361204013378,2.0,24.0,0.02702702702702703,0.013377926421404682,2.4324324324324325,1.2040133779264215,4.0,25.0,0.05405405405405406,0.013935340022296544,4.864864864864865,1.254180602006689,1.0,5.0,0.013513513513513514,0.002787068004459309,1.2162162162162162,0.2508361204013378,0.0,47.0,0.0,0.026198439241917504,0.0,2.3578595317725752,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.02702702702702703,0.0011148272017837235,2.4324324324324325,0.10033444816053512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.013513513513513514,0.010033444816053512,1.2162162162162162,0.9030100334448161,0.0,9.0,0.0,0.005016722408026756,0.0,0.45150501672240806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEE,0.36452963397422716,0.9307810804847919,0.136436670542021,0.8396727086524374,0.5265338364320482,1.3222318723138584,0.11349933099077172,0.0,0.2445652574841796,0.22990194154681104,0.8299870559290611,1.2152901628524617,0.08161734150527358,1.6020390082737788,0.004313908400700079,0.016483729410303655,0.006283760447932904,1.356105841723368,0.20630918490698777,0.0,0.0,0.0,0.0,0.0,5,5
